Country name,Country Code,Region ,IncomeGroup,,
Aruba,ABW ,Latin America & Caribbea,High,,
Afghanistan,AFG,South Asia,Lower middle,,
Angola,AGO,Sub-Saharan Africa,Lower middle,,
Albania,ALB,Europe & Central Asia,Upper middle,,
Andorra,AND,Europe & Central Asia,High,,
United Arab Emirates,ARE,Middle East & North Africa,High,,
Argentina,ARG,Latin America & Caribbea,Upper middle,,
Armenia,ARM,Europe & Central Asia,Upper middle,,
American Samoa,ASM,East Asia & Pacific,Upper middle,,
Antigua and Barbuda,ATG,Latin America & Caribbea,High,,
Australia,AUS,East Asia & Pacific,High,,
Austria,AUT,Europe & Central Asia,High,,
Azerbaijan,AZE,Europe & Central Asia,Upper middle,,
Burundi,BDI,Sub-Saharan Africa,Low,,
Belgium,BEL,Europe & Central Asia,High,,
Benin,BEN,Sub-Saharan Africa,Low,,
Burkina Faso,BFA,Sub-Saharan Africa,Low,,
Bangladesh,BGD,South Asia,Lower middle,,
Bulgaria,BGR,Europe & Central Asia,Upper middle,,
Bahrain,BHR,Middle East & North Africa,High,,
Bahamas,BHS,Latin America & Caribbea,High,,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle,,
Belarus,BLR,Europe & Central Asia,Upper middle,,
Belize,BLZ,Latin America & Caribbea,Upper middle,,
Bermuda,BMU,North America,High,,
Bolivia,BOL,Latin America & Caribbea,Lower middle,,
Brazil,BRA,Latin America & Caribbea,Upper middle,,
Barbados,BRB,Latin America & Caribbea,High,,
Brunei Darussalam,BRN,East Asia & Pacific,High,,
Bhutan,BTN,South Asia,Lower middle,,
Botswana,BWA,Sub-Saharan Africa,Upper middle,,
Central African Republic,CAF,Sub-Saharan Africa,Low,,
Canada,CAN,North America,High,,
Switzerland,CHE,Europe & Central Asia,High,,
Channel Islands,CHI,Europe & Central Asia,High,,
Chile,CHL,Latin America & Caribbea,High,,
China,CHN,East Asia & Pacific,Upper middle,,
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle,,
Congo Dem. Rep.,COD,Sub-Saharan Africa,Low,,
Congo Rep.,COG,Sub-Saharan Africa,Lower middle,,
Colombia,COL,Latin America & Caribbea,Upper middle,,
Comoros,COM,Sub-Saharan Africa,Lower middle,,
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle,,
Costa Rica,CRI,Latin America & Caribbea,Upper middle,,
Cuba,CUB,Latin America & Caribbea,Upper middle,,
Curacao,CUW,Latin America & Caribbea,High,,
Cayman Islands,CYM,Latin America & Caribbea,High,,
Cyprus,CYP,Europe & Central Asia,High,,
Czech Republic,CZE,Europe & Central Asia,High,,
Germany,DEU,Europe & Central Asia,High,,
Djibouti,DJI,Middle East & North Africa,Lower middle,,
Dominica,DMA,Latin America & Caribbea,Upper middle,,
Denmark,DNK,Europe & Central Asia,High,,
Dominican Republic,DOM,Latin America & Caribbea,Upper middle,,
Algeria,DZA,East Asia & Pacific,Upper middle,,
Ecuador,ECU,Latin America & Caribbea,Upper middle,,
Egypt,EGY,Middle East & North Africa,Lower middle,,
Eritrea,ERI,Sub-Saharan Africa,Low,,
Spain,ESP,Europe & Central Asia,High,,
Estonia,EST,Europe & Central Asia,High,,
Ethiopia,ETH,Sub-Saharan Africa,Low,,
Finland,FIN,Europe & Central Asia,High,,
Fiji,FJI,East Asia & Pacific,Upper middle,,
France,FRA,Europe & Central Asia,High,,
Faroe Islands,FRO,Europe & Central Asia,High,,
Gabon,GAB,Sub-Saharan Africa,Upper middle,,
United Kingdom,GBR,Europe & Central Asia,High,,
Ghana,GHA,Sub-Saharan Africa,Lower middle,,
Gibraltar,GIB,Europe & Central Asia,High,,
Guinea,GIN,Sub-Saharan Africa,Low,,
Gambia,GMB,Sub-Saharan Africa,Low,,
Guinea-Bissau,GNB,Sub-Saharan Africa,Low,,
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle,,
Greece,GRE,Europe & Central Asia,High,,
Grenada,GRD,Latin America & Caribbea,Upper middle,,
Greenland,GRL,Europe & Central Asia,High,,
Guatemala,GTM,Latin America & Caribbea,Upper middle,,
Guam,GUM,East Asia & Pacific,High,,
Guyana,GUY,Latin America & Caribbea,Upper middle,,
Hong Kong,HKG,East Asia & Pacific,High,, 
Honduras,HND,Latin America & Caribbea,Lower middle,,
Croatia,HRV,Europe & Central Asia,High,,
Haiti,HTI,Latin America & Caribbea,Low,,
Hungary,HUN,Europe & Central Asia,High,,
Indonesia,IDN,East Asia & Pacific,Lower middle,,
Isle of Man,IMN,Europe & Central Asia,High,,
India,IND,South Asia,Lower middle,,
Ireland,IRL,Europe & Central Asia,High,,
Iran,IRN,Middle East & North Africa,Upper middle,,
Iraq,IRQ,Middle East & North Africa,Upper middle,,
Iceland,ISL,Europe & Central Asia,High,,
Israel,ISR,Middle East & North Africa,High,,
Italy,ITA,Europe & Central Asia,High,,
Jamaica,JAM,Latin America & Caribbea,Upper middle,,
Jordan,JOR,Middle East & North Africa,Upper middle,,
Japan,JPN,East Asia & Pacific,High,,
Kazakhstan,KAZ,Europe & Central Asia,Upper middle,,
Kenya,KEN,Sub-Saharan Africa,Lower middle,,
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle,,
Cambodia,KHM,East Asia & Pacific,Lower middle,,
Kiribati,KIR,East Asia & Pacific,Lower middle,,
St. Kitts and Nevis,KNA,Latin America & Caribbea,High,,
Korea Rep.,KOR,East Asia & Pacific,High,,
Kuwait,KWT,Middle East & North Africa,High,,
Lao PDR,LAO,East Asia & Pacific,Lower middle,,
Lebanon,LBN,Middle East & North Africa,Upper middle,,
Liberia,LBR,Sub-Saharan Africa,Low,,
Libya,LBY,Middle East & North Africa,Upper middle,,
St. Lucia,LCA,Latin America & Caribbea,Upper middle,,
Liechtenstein,LIE,Europe & Central Asia,High,,
Sri Lanka,LKA,South Asia,Upper middle,,
Lesotho,LSO,Sub-Saharan Africa,Lower middle,,
Lithuania,LTU,Europe & Central Asia,High,,
Luxembourg,LUX,Europe & Central Asia,High,,
Latvia,LVA,Europe & Central Asia,High,,
Macao,MAC,East Asia & Pacific,High,,
St. Martin,MAF,Latin America & Caribbea,High,,
Morocco,MAR,East Asia & Pacific,Lower middle,,
Monaco,MCO,Europe & Central Asia,High,,
Moldova,MDA,Europe & Central Asia,Lower middle,,
Madagascar,MDG,Sub-Saharan Africa,Low,,
Maldives,MDV,South Asia,Upper middle,,
Mexico,MEX,Latin America & Caribbea,Upper middle,,
Marshall Islands,MHL,East Asia & Pacific,Upper middle,,
North Macedonia,MKD,Europe & Central Asia,Upper middle,,
Mali,MLI,Sub-Saharan Africa,Low,,
Malta,MLT,Middle East & North Africa,High,,
Myanmar,MMR,East Asia & Pacific,Lower middle,,
Montenegro,MNE,Europe & Central Asia,Upper middle,,
Mongolia,MNG,East Asia & Pacific,Lower middle,,
Northern Mariana Island,MNP,East Asia & Pacific,High,,
Mozambique,MOZ,Sub-Saharan Africa,Low,,
Mauritania,MRT,Sub-Saharan Africa,Lower middle,,
Mauritius,MUS,Sub-Saharan Africa,Upper middle,,
Malawi,MWI,Sub-Saharan Africa,Low,,
Malaysia,MYS,East Asia & Pacific,Upper middle,,
Namibia,NAM,Sub-Saharan Africa,Upper middle,,
New Caledonia,NCL,East Asia & Pacific,High,,
Niger,NER,Sub-Saharan Africa,Low,,
Nigeria,NGA,Sub-Saharan Africa,Lower middle,,
Nicaragua,NIC,Latin America & Caribbea,Lower middle,,
Netherlands,NLD,Europe & Central Asia,High,,
Norway,NOR,Europe & Central Asia,High,,
Nepal,NPL,South Asia,Low,,
Nauru,NRU,East Asia & Pacific,Upper middle,,
New Zealand,NZL,East Asia & Pacific,High,,
Oman,OMN,Middle East & North Africa,High,,
Pakistan,PAK,South Asia,Lower middle,,
Panama,PAN,Latin America & Caribbea,High,,
Peru,PER,Latin America & Caribbea,Upper middle,,
Philippines,PHL,East Asia & Pacific,Lower middle,,
Palau,PLW,East Asia & Pacific,High,,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle,,
Poland,POL,Europe & Central Asia,High,,
Puerto Rico,PRI,Latin America & Caribbea,High,,
Korea DPR,PRK,East Asia & Pacific,Low,,
Portugal,PRT,Europe & Central Asia,High,,
Paraguay,PRY,Latin America & Caribbea,Upper middle,,
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle,,
Polynesia,PYF,East Asia & Pacific,High,,
Qatar,QAT,Middle East & North Africa,High,,
Romania,ROU,Europe & Central Asia,Upper middle,,
Russian Federation,RUS,Europe & Central Asia,Upper middle,,
Rwanda,RWA,Sub-Saharan Africa,Low,,
Saudi Arabia,SAU,Middle East & North Africa,High,,
Sudan,SDN,Sub-Saharan Africa,Lower middle,,
Senegal,SEN,Sub-Saharan Africa,Lower middle,,
Singapore,SGP,East Asia & Pacific,High,,
Solomon Islands,SLB,East Asia & Pacific,Lower middle,,
Sierra Leone,SLE,Sub-Saharan Africa,Low,,
Salvador,SLV,Latin America & Caribbea,Lower middle,,
San Marino,SMR,Europe & Central Asia,High,,
Somalia,SOM,Sub-Saharan Africa,Low,,
Serbia,SRB,Europe & Central Asia,Upper middle,,
Sudan,SSD,Sub-Saharan Africa,Low,,
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle,,
Suriname,SUR,Latin America & Caribbea,Upper middle,,
Slovak Republic,SVK,Europe & Central Asia,High,,
Slovenia,SVN,Europe & Central Asia,High,,
Sweden,SWE,Europe & Central Asia,High,,
Eswatini,SWZ,Sub-Saharan Africa,Lower middle,,
Sint Maarten,SXM,Latin America & Caribbea,High,,
Seychelles,SYC,Sub-Saharan Africa,High,,
Syrian Arab Republic,SYR,Middle East & North Africa,Low,,
Turks and Caicos Islands,TCA,Latin America & Caribbea,High,,
Chad,TCD,Sub-Saharan Africa,Low,,
Togo,TGO,Sub-Saharan Africa,Low,,
Thailand,THA,East Asia & Pacific,Upper middle,,
Tajikistan,TJK,Europe & Central Asia,Low,,
Turkmenistan,TKM,Europe & Central Asia,Upper middle,,
Timor-Leste,TLS,East Asia & Pacific,Lower middle,,
Tonga,TON,East Asia & Pacific,Upper middle,,
Trinidad and Tobago,TTO,Latin America & Caribbea,High,,
Tunisia,TUN,Middle East & North Africa,Lower middle,,
Turkey,TUR,Europe & Central Asia,Upper middle,,
Tuvalu,TUV,East Asia & Pacific,Upper middle,,
Tanzania,TZA,Sub-Saharan Africa,Low,,
Uganda,UGA,Sub-Saharan Africa,Low,,
Ukraine,UKR,Europe & Central Asia,Lower middle,,
Uruguay,URY,Latin America & Caribbea,High,,
United States,USA,North America,High,,
Uzbekistan,UZB,Europe & Central Asia,Lower middle,,
St. Vincent and the Grenadines,VCT,Latin America & Caribbea,Upper middle,,
Venezuela,VEN,Latin America & Caribbea,Upper middle,,
British Virgin Islands,VGB,Latin America & Caribbea,High,,
Virgin Islands,VIR,Latin America & Caribbea,High,,
Vietnam,VNM,East Asia & Pacific,Lower middle,,
Vanuatu,VUT,East Asia & Pacific,Lower middle,,
Samoa,WSM,East Asia & Pacific,Upper middle,,
Kosovo,XKX,Europe & Central Asia,Upper middle,,
Yemen,YEM,Middle East & North Africa,Low,,
South Africa,ZAF,Sub-Saharan Africa,Upper middle,,
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle,,
